,geo,text,user,location
0,," 😱While most Americans locked down due to the highly contagious #coronavirus, Tiffany “Grifter Barbie” Trump partied with…",lininohio,
1,, “Judicial Watch has at least 30 FOIA requests looking into the #Coronavirus shutdowns. Our friends at @DailyCaller are a…,LindaSk49118554,"Dartford, South East"
2,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",GiovanShepard,
3,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",teamster792,Minnesota
4,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",prc4aam,"Tampa, Florida"
5,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",rooneewatro,
6,, Greed and Disinformation Still Predominate #Iran’s #Coronavirus ResponseThe back-to-back record highs coincided with a st…,HaddadEffat,
7,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",LeXiiPeXii_,Anywhere there's sports
8,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",USCGamecockBoy,"Columbia, SC, Gamecock Country"
9,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",serenitynow3121,Somewhere in the DMV 
10,, “Judicial Watch has at least 30 FOIA requests looking into the #Coronavirus shutdowns. Our friends at @DailyCaller are a…,browne_pamela,
11,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",LoveIsCool,Staycation for the Duration
12,, “Judicial Watch has at least 30 FOIA requests looking into the #Coronavirus shutdowns. Our friends at @DailyCaller are a…,Bryan420NM,
13,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",chromasphere,Madly sparkling the Void
14,, The #SEC has a problem. #Gators and #vanderbilt and others have all tested positive for #coronavirus how long before t…,TheEveryDayFan2,World Wide 
15,," 🚨NEW from me: President Trump plans to host a rally in Wisconsin this weekend, even though his own White House #Coronavirus…",ballark,"New York City, Titletown"
16,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",imjustmeTBD,"Salt Lake City, UT"
17,," NEW: @SenSasse, during apparent call w/ constituents, excoriated @realDonaldTrump, saying he mishandled #coronavirus, ""k…",lovemedietcoke,
