Statement,Link,Date, Source, Label
Like Al-Qaeda and ISIS^ Amy Coney Barrett has said her “end goal is to end the separation of church and state & build a ‘Kingdom of God’ in the United States.”,https://www.politifact.com/factchecks/2020/sep/27/instagram-posts/amy-coney-barretts-kingdom-god-comments-ripped-out/,mber 27^ 2020,Instagram posts,false
Says President Trump tweeted that it’s “not fair for a president to leave office because of BAD votes!” and that the Supreme Court “should decide the presidency at every election.”,https://www.politifact.com/factchecks/2020/sep/27/facebook-posts/trump-didnt-tweet-supreme-court-should-decide-pres/,mber 27^ 2020,Facebook posts,false
A graphic on U.S. abortion rates shows larger declines during recent Democratic presidential administrations^ and says its due to the party’s approach of making abortions unnecessary^ rather than the Republican Party’s approach of making the procedure illegal.,https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/graph-us-abortion-rate-during-different-presidents/,mber 25^ 2020,Facebook posts,half-true
Kamala Harris “has not formally taken questions from the press a single time” since she was announced as Joe Biden’s vice presidential pick.,https://www.politifact.com/factchecks/2020/sep/25/dinesh-dsouza/local-national-interviews-show-kamala-harris-has-t/,mber 25^ 2020,Dinesh D'Souza,false
Quotes Donald Trump as saying^ “I’ll tell you the funniest thing. I’ll go backstage before a Miss Teen USA show^ and everyone’s getting dressed and ready and everything and no men are anywhere. … You know^ I’m inspecting. The girls (14-16) are standing there with no clothes on.”,https://www.politifact.com/factchecks/2020/sep/25/viral-image/no-president-trump-didnt-say-about-miss-teen-usa-p/,mber 25^ 2020,Viral image,false
“Biden said today^ if he loses^ his people will keep burning^ looting and killing.”,https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/no-biden-didnt-say-his-people-would-commit-violenc/,mber 25^ 2020,Facebook posts,false
“Prop 15 will impose massive property tax increases on Solar in California.”,https://www.politifact.com/factchecks/2020/sep/25/no-prop-15/solar-tax-experts-reject-claim-prop-15-imposes-mas/,mber 25^ 2020,No on Prop 15,false
“James is the only Senate candidate in a battleground state who has refused to take a position” on whether the Senate should promptly vote on Trump’s Supreme Court nominee,https://www.politifact.com/factchecks/2020/sep/25/michigan-democratic-party/john-james-lone-senate-candidate-facing-competitiv/,mber 25^ 2020,Michigan Democratic Party,mostly-true
Says Judge Amy Coney Barrett said that “gays have a right to be discriminated against because they are against God’s wishes” and that “white people are God’s chosen ones.”,https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/what-social-media-posts-get-wrong-about-amy-coney-/,mber 25^ 2020,Facebook posts,false
Says Sara Gideon "voted to defund" the Freeport police "and gave the money to a nonprofit she helped run.",https://www.politifact.com/factchecks/2020/sep/25/susan-collins/maine-gop-sen-susan-collins-lobs-false-defund-poli/,mber 25^ 2020,Susan Collins,false
